Range (541, 545) : (Score: 1055), (Number of Possessions: 498)
Range (546, 550) : (Score: 2067), (Number of Possessions: 1240)
Range (551, 555) : (Score: 3086), (Number of Possessions: 1835)
Range (556, 560) : (Score: 4076), (Number of Possessions: 2913)
Range (561, 565) : (Score: 5116), (Number of Possessions: 3631)
Range (566, 570) : (Score: 6127), (Number of Possessions: 4395)
Range (571, 575) : (Score: 7057), (Number of Possessions: 5024)
Range (576, 580) : (Score: 8013), (Number of Possessions: 5533)
Range (581, 585) : (Score: 9011), (Number of Possessions: 6173)
Range (586, 590) : (Score: 10058), (Number of Possessions: 6749)
Range (591, 595) : (Score: 11063), (Number of Possessions: 7600)
Range (596, 600) : (Score: 12078), (Number of Possessions: 8348)
Range (601, 605) : (Score: 13079), (Number of Possessions: 8941)
Range (606, 610) : (Score: 14142), (Number of Possessions: 9585)
Range (611, 615) : (Score: 15194), (Number of Possessions: 10394)
Range (616, 620) : (Score: 16175), (Number of Possessions: 11020)
Range (621, 625) : (Score: 17240), (Number of Possessions: 11504)
Range (626, 630) : (Score: 18252), (Number of Possessions: 12387)
Range (631, 635) : (Score: 19327), (Number of Possessions: 12986)
Range (636, 636) : (Score: 19560), (Number of Possessions: 13131)
