Range (6, 10) : (Score: 995), (Number of Possessions: 794)
Range (11, 15) : (Score: 1989), (Number of Possessions: 1170)
Range (16, 20) : (Score: 3032), (Number of Possessions: 1931)
Range (21, 25) : (Score: 4046), (Number of Possessions: 2635)
Range (26, 30) : (Score: 5068), (Number of Possessions: 3253)
Range (31, 35) : (Score: 6151), (Number of Possessions: 3818)
Range (36, 40) : (Score: 7136), (Number of Possessions: 4608)
Range (41, 45) : (Score: 8083), (Number of Possessions: 5005)
Range (46, 50) : (Score: 9151), (Number of Possessions: 5432)
Range (51, 55) : (Score: 10154), (Number of Possessions: 6040)
Range (56, 60) : (Score: 11126), (Number of Possessions: 6637)
Range (61, 65) : (Score: 12148), (Number of Possessions: 7457)
Range (66, 70) : (Score: 13121), (Number of Possessions: 8220)
Range (71, 75) : (Score: 14149), (Number of Possessions: 9205)
Range (76, 80) : (Score: 15156), (Number of Possessions: 9631)
Range (81, 85) : (Score: 16161), (Number of Possessions: 10261)
Range (86, 90) : (Score: 17192), (Number of Possessions: 10848)
Range (91, 95) : (Score: 18207), (Number of Possessions: 12277)
Range (96, 100) : (Score: 18605), (Number of Possessions: 12598)
Range (101, 105) : (Score: 19616), (Number of Possessions: 12929)
Range (106, 110) : (Score: 20615), (Number of Possessions: 13479)
Range (111, 115) : (Score: 21722), (Number of Possessions: 14103)
Range (116, 120) : (Score: 22811), (Number of Possessions: 14665)
